tight,tight
steady,tight
regular,tight
proportional,tight
consistent,tight
similar,tight
direct,tight
linear,tight
regular,tight
equal,tight
symmetrical,tight
constant,tight
loose,loose
different,loose
inconsistent,loose
uneven,loose
inversely-proportional,loose
